ExperimentName,OverallMeanAccuracy,MaxAccuracy,MinAccuracy
Exp1_LDA_ANOVA_ChannelPair2_SlidingWindow_PairsGreaterthan0_IPDTable_ExperimentResults_20240916.mat,77.2917710944027,83,72.2105263157895
Exp1_LDA_ANOVA_ChannelPair3_SlidingWindow_PairsGreaterthan0_PLVTable_ExperimentResults_20240916.mat,77.1662489557226,85.1754385964912,68.8888888888889
Exp1_LDA_ANOVA_SlidingWindow_ChannelPair3_PLVTable_ExperimentResults_20240911.mat,77.0530492898914,84.5906432748538,68.8888888888889
Exp1_LDA_ANOVA_ChannelPair3_SlidingWindow_PairsGreaterthan1_PLVTable_ExperimentResults_20240916.mat,77.046574770259,86.7836257309941,70
